Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,DateTime
10/03/2004,18:00:00,-200.0,1360.0,150.0,,1046.0,166.0,1056.0,113.0,1692.0,1268.0,-200.0,-200.0,-200.0,2004-03-10 18:00:00
10/03/2004,19:00:00,2.0,1292.0,112.0,,955.0,103.0,1174.0,92.0,1559.0,972.0,-200.0,-200.0,-200.0,2004-03-10 19:00:00
10/03/2004,20:00:00,-200.0,1402.0,88.0,,939.0,131.0,1140.0,114.0,1555.0,1074.0,-200.0,-200.0,-200.0,2004-03-10 20:00:00
10/03/2004,21:00:00,-200.0,1376.0,80.0,,948.0,172.0,1092.0,122.0,1584.0,1203.0,-200.0,-200.0,-200.0,2004-03-10 21:00:00
10/03/2004,22:00:00,-200.0,1272.0,51.0,,836.0,131.0,1205.0,116.0,1490.0,1110.0,-200.0,-200.0,-200.0,2004-03-10 22:00:00
10/03/2004,23:00:00,-200.0,1197.0,38.0,,750.0,89.0,1337.0,96.0,1393.0,949.0,-200.0,-200.0,-200.0,2004-03-10 23:00:00
11/03/2004,00:00:00,-200.0,1185.0,31.0,,690.0,62.0,1462.0,77.0,1333.0,733.0,-200.0,-200.0,-200.0,2004-03-11 00:00:00
11/03/2004,01:00:00,1.0,1136.0,31.0,,672.0,62.0,1453.0,76.0,1333.0,730.0,-200.0,-200.0,-200.0,2004-03-11 01:00:00
11/03/2004,02:00:00,-200.0,1094.0,24.0,,609.0,45.0,1579.0,60.0,1276.0,620.0,-200.0,-200.0,-200.0,2004-03-11 02:00:00
11/03/2004,03:00:00,-200.0,1010.0,19.0,,561.0,180.0,1705.0,109.0,1235.0,501.0,-200.0,-200.0,-200.0,2004-03-11 03:00:00
11/03/2004,04:00:00,-200.0,1011.0,14.0,,527.0,21.0,1818.0,34.0,1197.0,445.0,-200.0,-200.0,-200.0,2004-03-11 04:00:00
11/03/2004,05:00:00,-200.0,1066.0,8.0,,512.0,16.0,1918.0,28.0,1182.0,422.0,-200.0,-200.0,-200.0,2004-03-11 05:00:00
11/03/2004,06:00:00,-200.0,1052.0,16.0,,553.0,34.0,1738.0,48.0,1221.0,472.0,-200.0,-200.0,-200.0,2004-03-11 06:00:00
11/03/2004,07:00:00,-200.0,1144.0,29.0,,667.0,98.0,1490.0,82.0,1339.0,730.0,-200.0,-200.0,-200.0,2004-03-11 07:00:00
11/03/2004,08:00:00,2.0,1333.0,64.0,,900.0,174.0,1136.0,112.0,1517.0,1102.0,-200.0,-200.0,-200.0,2004-03-11 08:00:00
11/03/2004,09:00:00,-200.0,1351.0,87.0,,960.0,129.0,1079.0,101.0,1583.0,1028.0,-200.0,-200.0,-200.0,2004-03-11 09:00:00
11/03/2004,10:00:00,-200.0,1233.0,77.0,,827.0,112.0,1218.0,98.0,1446.0,860.0,-200.0,-200.0,-200.0,2004-03-11 10:00:00
11/03/2004,11:00:00,-200.0,1179.0,43.0,,762.0,95.0,1328.0,92.0,1362.0,671.0,-200.0,-200.0,-200.0,2004-03-11 11:00:00
11/03/2004,12:00:00,-200.0,1236.0,61.0,,774.0,104.0,1301.0,95.0,1401.0,664.0,-200.0,-200.0,-200.0,2004-03-11 12:00:00
11/03/2004,13:00:00,-200.0,1286.0,63.0,,869.0,146.0,1162.0,112.0,1537.0,799.0,-200.0,-200.0,-200.0,2004-03-11 13:00:00
11/03/2004,14:00:00,-200.0,1371.0,164.0,,1034.0,207.0,983.0,128.0,1730.0,1037.0,-200.0,-200.0,-200.0,2004-03-11 14:00:00
11/03/2004,15:00:00,-200.0,1310.0,79.0,,933.0,184.0,1082.0,126.0,1647.0,946.0,-200.0,-200.0,-200.0,2004-03-11 15:00:00
11/03/2004,16:00:00,-200.0,1292.0,95.0,,912.0,193.0,1103.0,131.0,1591.0,957.0,-200.0,-200.0,-200.0,2004-03-11 16:00:00
11/03/2004,17:00:00,-200.0,1383.0,150.0,,1020.0,243.0,1008.0,135.0,1719.0,1104.0,-200.0,-200.0,-200.0,2004-03-11 17:00:00
11/03/2004,18:00:00,-200.0,1581.0,307.0,,1319.0,281.0,799.0,151.0,2083.0,1409.0,-200.0,-200.0,-200.0,2004-03-11 18:00:00
11/03/2004,19:00:00,-200.0,1776.0,461.0,,1488.0,383.0,702.0,172.0,2333.0,1704.0,-200.0,-200.0,-200.0,2004-03-11 19:00:00
11/03/2004,20:00:00,-200.0,1640.0,401.0,,1404.0,351.0,743.0,165.0,2191.0,1654.0,-200.0,-200.0,-200.0,2004-03-11 20:00:00
11/03/2004,21:00:00,-200.0,1313.0,197.0,,1076.0,240.0,957.0,136.0,1707.0,1285.0,-200.0,-200.0,-200.0,2004-03-11 21:00:00
11/03/2004,22:00:00,-200.0,965.0,61.0,,749.0,94.0,1325.0,85.0,1333.0,821.0,-200.0,-200.0,-200.0,2004-03-11 22:00:00
11/03/2004,23:00:00,1.0,913.0,26.0,,629.0,47.0,1565.0,53.0,1252.0,552.0,-200.0,-200.0,-200.0,2004-03-11 23:00:00
12/03/2004,00:00:00,-200.0,1080.0,55.0,,805.0,122.0,1254.0,97.0,1375.0,816.0,-200.0,-200.0,-200.0,2004-03-12 00:00:00
12/03/2004,01:00:00,-200.0,1044.0,53.0,,829.0,133.0,1247.0,110.0,1378.0,832.0,-200.0,-200.0,-200.0,2004-03-12 01:00:00
12/03/2004,02:00:00,-200.0,988.0,40.0,,718.0,82.0,1396.0,91.0,1304.0,692.0,-200.0,-200.0,-200.0,2004-03-12 02:00:00
12/03/2004,03:00:00,-200.0,889.0,21.0,,574.0,180.0,1680.0,109.0,1187.0,512.0,-200.0,-200.0,-200.0,2004-03-12 03:00:00
12/03/2004,04:00:00,-200.0,831.0,10.0,,506.0,21.0,1893.0,32.0,1134.0,384.0,-200.0,-200.0,-200.0,2004-03-12 04:00:00
12/03/2004,05:00:00,-200.0,847.0,7.0,,501.0,30.0,1895.0,44.0,1155.0,394.0,-200.0,-200.0,-200.0,2004-03-12 05:00:00
12/03/2004,06:00:00,-200.0,927.0,17.0,,571.0,56.0,1685.0,71.0,1223.0,487.0,-200.0,-200.0,-200.0,2004-03-12 06:00:00
12/03/2004,07:00:00,-200.0,1091.0,33.0,,730.0,109.0,1387.0,104.0,1361.0,748.0,-200.0,-200.0,-200.0,2004-03-12 07:00:00
12/03/2004,08:00:00,-200.0,1587.0,202.0,,1236.0,307.0,897.0,141.0,1900.0,1400.0,-200.0,-200.0,-200.0,2004-03-12 08:00:00
12/03/2004,09:00:00,-200.0,1545.0,150.0,,1353.0,180.0,767.0,109.0,2058.0,1588.0,-200.0,-200.0,-200.0,2004-03-12 09:00:00
12/03/2004,10:00:00,-200.0,1350.0,208.0,,1118.0,187.0,912.0,122.0,1712.0,1237.0,-200.0,-200.0,-200.0,2004-03-12 10:00:00
12/03/2004,11:00:00,-200.0,1263.0,166.0,,1037.0,216.0,969.0,143.0,1598.0,1167.0,-200.0,-200.0,-200.0,2004-03-12 11:00:00
12/03/2004,12:00:00,-200.0,1206.0,114.0,,986.0,143.0,1035.0,113.0,1537.0,959.0,-200.0,-200.0,-200.0,2004-03-12 12:00:00
12/03/2004,13:00:00,-200.0,1252.0,140.0,,1016.0,160.0,1008.0,116.0,1593.0,983.0,-200.0,-200.0,-200.0,2004-03-12 13:00:00
12/03/2004,14:00:00,-200.0,1287.0,169.0,,1078.0,163.0,949.0,123.0,1660.0,1061.0,-200.0,-200.0,-200.0,2004-03-12 14:00:00
12/03/2004,15:00:00,-200.0,1353.0,185.0,,1122.0,190.0,922.0,126.0,1740.0,1139.0,-200.0,-200.0,-200.0,2004-03-12 15:00:00
12/03/2004,16:00:00,-200.0,1309.0,165.0,,1073.0,178.0,954.0,120.0,1657.0,1112.0,-200.0,-200.0,-200.0,2004-03-12 16:00:00
12/03/2004,17:00:00,-200.0,1274.0,133.0,,1041.0,150.0,1006.0,119.0,1610.0,994.0,-200.0,-200.0,-200.0,2004-03-12 17:00:00
12/03/2004,18:00:00,-200.0,1510.0,233.0,,1277.0,206.0,812.0,149.0,1910.0,1410.0,-200.0,-200.0,-200.0,2004-03-12 18:00:00
12/03/2004,19:00:00,-200.0,1525.0,242.0,,1246.0,202.0,821.0,145.0,1847.0,1448.0,-200.0,-200.0,-200.0,2004-03-12 19:00:00
12/03/2004,20:00:00,-200.0,1843.0,488.0,,1610.0,340.0,624.0,170.0,2390.0,1887.0,-200.0,-200.0,-200.0,2004-03-12 20:00:00
12/03/2004,21:00:00,-200.0,1598.0,333.0,,1299.0,274.0,752.0,149.0,1941.0,1627.0,-200.0,-200.0,-200.0,2004-03-12 21:00:00
12/03/2004,22:00:00,-200.0,1484.0,215.0,,1127.0,253.0,839.0,139.0,1723.0,1491.0,-200.0,-200.0,-200.0,2004-03-12 22:00:00
12/03/2004,23:00:00,-200.0,1677.0,367.0,,1346.0,300.0,741.0,134.0,2062.0,1657.0,-200.0,-200.0,-200.0,2004-03-12 23:00:00
13/03/2004,00:00:00,-200.0,1280.0,122.0,,964.0,193.0,963.0,113.0,1544.0,1285.0,-200.0,-200.0,-200.0,2004-03-13 00:00:00
13/03/2004,01:00:00,-200.0,1196.0,67.0,,873.0,139.0,1071.0,97.0,1463.0,1144.0,-200.0,-200.0,-200.0,2004-03-13 01:00:00
13/03/2004,02:00:00,-200.0,1184.0,43.0,,782.0,83.0,1176.0,82.0,1365.0,1043.0,-200.0,-200.0,-200.0,2004-03-13 02:00:00
13/03/2004,03:00:00,-200.0,1172.0,46.0,,783.0,180.0,1179.0,109.0,1380.0,996.0,-200.0,-200.0,-200.0,2004-03-13 03:00:00
13/03/2004,04:00:00,-200.0,1147.0,56.0,,821.0,109.0,1132.0,83.0,1412.0,992.0,-200.0,-200.0,-200.0,2004-03-13 04:00:00
13/03/2004,05:00:00,1.0,978.0,30.0,,625.0,62.0,1420.0,65.0,1274.0,819.0,-200.0,-200.0,-200.0,2004-03-13 05:00:00
13/03/2004,06:00:00,-200.0,1100.0,27.0,,646.0,53.0,1406.0,60.0,1268.0,835.0,-200.0,-200.0,-200.0,2004-03-13 06:00:00
